chromosome,coordinate,cn
1,850001,0.008910289
1,900001,0.004614273
1,950001,0.01633161
1,1000001,-0.02670202
1,1050001,0.107108186
1,1100001,0.149575457
1,1200001,-0.124595951
1,1250001,0.008836625
1,1300001,0.077187002
1,1350001,-0.072082604
1,1450001,0.259973119
1,1550001,0.048507893
1,1750001,-0.01449544
1,1800001,0.06415137
1,1850001,0.060481071
1,1900001,0.09057712
1,1950001,0.077880394
1,2000001,0.123497002
1,2050001,0.146393462
1,2100001,-0.018637365
1,2150001,-0.09632219
1,2200001,0.057888026
1,2250001,-0.076852266
1,2300001,0.103536186
1,2350001,0.010839613
1,2400001,-0.012825644
1,2450001,-0.094480282
1,2500001,0.162914733
1,2550001,-0.036925234
1,2600001,-0.023277398
1,2800001,-0.145287305
1,2850001,-0.075844428
1,2900001,-0.058409622
1,2950001,0.011335992
1,3000001,-0.032586144
1,3050001,-0.049976617
1,3100001,0.054046448
1,3150001,-0.004657757
1,3200001,0.061276745
1,3250001,-0.02755782
1,3300001,-0.130597452
1,3350001,-0.151168354
1,3400001,0.070364478
1,3450001,0.090036221
1,3500001,0.03907517
1,3550001,-0.049880327
1,3600001,-0.127870252
1,3650001,-0.172212713
1,3700001,0.00752981
1,3750001,0.103387886
1,3800001,0.091288691
1,3850001,0.169127223
1,3900001,-0.012776464
1,3950001,0.008781416
1,4000001,0.104440059
1,4050001,-0.024452983
1,4100001,-0.00948884
1,4150001,-0.100383699
1,4200001,0.051844742
1,4250001,0.056772054
1,4300001,0.159705456
1,4350001,0.126466818
1,4400001,-0.033851694
1,4450001,-0.006859208
1,4500001,0.017216219
1,4550001,-0.101876433
1,4600001,-0.11087308
1,4650001,-0.182215412
1,4700001,-0.058888774
1,4750001,-0.067800301
1,4800001,-0.183784976
1,4850001,0.018662033
1,4900001,-0.01537914
1,4950001,-0.099898633
1,5000001,0.234602002
1,5050001,0.072265674
1,5100001,-0.001031681
1,5150001,-0.163036696
1,5200001,-0.099480385
1,5250001,-0.095976073
1,5300001,-0.065713894
1,5350001,-0.203058663
1,5400001,0.065745995
1,5450001,0.210887895
1,5500001,0.003967015
1,5550001,-0.092104931
1,5600001,0.073260177
1,5650001,-0.14604014
1,5700001,-0.023946529
1,5750001,-0.032768251
1,5800001,0.040057946
1,5900001,0.133220874
1,5950001,-0.113802411
1,6000001,0.060492497
1,6050001,0.007007803
1,6100001,0.064079712
1,6150001,-0.067434744
1,6200001,0.131831989
1,6250001,-0.10299645
1,6300001,0.121163754
1,6350001,0.006774471
1,6400001,0.181152913
1,6450001,0.067915935
1,6500001,0.124066181
1,6550001,0.041381635
1,6600001,-0.073503851
1,6650001,0.05872365
1,6700001,-0.219952277
1,6750001,-0.000865146
1,6800001,-0.084641447
1,6850001,-0.10592354
1,6900001,-0.00379654
1,6950001,0.148246696
1,7000001,0.060970334
1,7050001,0.081438134
1,7100001,-0.12208801
1,7150001,0.087600105
1,7200001,0.097735404
1,7250001,-0.001209716
1,7300001,0.027458574
1,7350001,-0.013627952
1,7400001,0.132697671
1,7450001,-0.049923645
1,7500001,-0.066385202
